X,Y,RowID,CrimeDateTime,CrimeCode,Location,Description,Inside_Outside,Weapon,Post,District,Neighborhood,Latitude,Longitude,GeoLocation,Premise,VRIName,Total_Incidents
1404359.75502043,604189.220781563,50,2021/12/29 23:41:15+00,1A,3400 EDGEWOOD RD,HOMICIDE,Outside,FIREARM,625,NORTHWEST,ASHBURTON,39.3252,-76.6747,"(39.3252,-76.6747)",STREET,,1
1428043.07977367,615758.096136918,103,2021/12/29 19:59:54+00,1A,5600 WOODMONT AVE,HOMICIDE,Outside,FIREARM,414,NORTHEAST,WOODBOURNE HEIGHTS,39.3567,-76.5908,"(39.3567,-76.5908)",ALLEY,,1
1414909.47725737,590533.646318769,273,2021/12/25 18:39:18+00,1A,1200 HOLLINS ST,HOMICIDE,Outside,FIREARM,931,SOUTHERN,HOLLINS MARKET,39.2876,-76.6376,"(39.2876,-76.6376)",PUBLIC AREA,,1
1433808.36059123,592400.342894972,275,2021/12/25 20:06:40+00,1A,3300 E BALTIMORE ST,HOMICIDE,Outside,FIREARM,222,SOUTHEAST,PATTERSON PARK NEIGHBORHOOD,39.2925,-76.5708,"(39.2925,-76.5708)",STREET,,1
1417045.8446986,594184.574627215,419,2021/12/23 14:17:26+00,1A,1100 SHIELDS PL,HOMICIDE,Outside,FIREARM,123,CENTRAL,UPTON,39.2976,-76.63,"(39.2976,-76.63)",STREET,Central,1
1428879.70295,568156.142165701,420,2021/12/23 01:30:11+00,1A,4400 PENNINGTON AVE,HOMICIDE,Outside,FIREARM,911,SOUTHERN,CURTIS BAY,39.226,-76.5886,"(39.226,-76.5886)",STREET,,1
1415739.65488342,595272.0231541,485,2021/12/22 01:06:53+00,1A,700 MOSHER ST,HOMICIDE,Outside,FIREARM,123,CENTRAL,UPTON,39.3006,-76.6346,"(39.3006,-76.6346)",PUBLIC AREA,Central,1
1433290.9043501,594109.82978241,525,2021/12/21 17:23:21+00,1A,500 LONEYS LN,HOMICIDE,Outside,FIREARM,224,SOUTHEAST,ELLWOOD PARK/MONUMENT,39.2972,-76.5726,"(39.2972,-76.5726)",STREET,,1
1422535.34899567,601018.654064196,526,2021/12/21 11:49:44+00,1A,2400 BRENTWOOD AVE,HOMICIDE,Outside,FIREARM,311,EASTERN,BARCLAY,39.3163,-76.6105,"(39.3163,-76.6105)",STREET,,1
1412521.03913646,578723.114059765,527,2021/12/21 21:03:50+00,1A,2900 HOLLINS FERRY RD,HOMICIDE,Outside,FIREARM,923,SOUTHERN,LAKELAND,39.2552,-76.6462,"(39.2552,-76.6462)",PUBLIC AREA,,1
1415422.98615076,596618.434039834,939,2021/12/17 12:57:29+00,1A,600 LAURENS ST,HOMICIDE,Outside,FIREARM,123,CENTRAL,UPTON,39.3043,-76.6357,"(39.3043,-76.6357)",STREET,,1
1415046.28146525,598838.781659062,949,2021/12/17 19:49:33+00,1A,1200 W NORTH AVE,HOMICIDE,Outside,FIREARM,733,WESTERN,PENN NORTH,39.3104,-76.637,"(39.3104,-76.637)",DWELLING,,1
1404571.62128175,592388.696704239,1032,2021/12/16 15:32:45+00,1A,500 DENISON ST,HOMICIDE,Outside,FIREARM,824,SOUTHWEST,LOWER EDMONDSON VILLAGE,39.2928,-76.6741,"(39.2928,-76.6741)",PUBLIC AREA,,1
1399472.11129044,585486.972619919,1042,2021/12/16 03:07:32+00,1A,600 LUCIA AVE,HOMICIDE,Outside,FIREARM,833,SOUTHWEST,YALE HEIGHTS,39.2739,-76.6922,"(39.2739,-76.6922)",STREET,,1
1401786.17723823,603961.635080576,1279,2021/12/13 17:06:23+00,1K,3900 NORFOLK AVE,HOMICIDE,Outside,KNIFE,623,NORTHWEST,CONCERNED CITIZENS OF FOREST PARK,39.3246,-76.6838,"(39.3246,-76.6838)",STREET,,1
1442905.8356964,612368.677165686,1381,2021/12/12 16:37:11+00,1A,1900 ARGONNE DR,HOMICIDE,Outside,FIREARM,445,NORTHEAST,CEDMONT,39.3472,-76.5383,"(39.3472,-76.5383)",ALLEY,,1
1422065.82958241,584990.254083799,1483,2021/12/11 13:33:26+00,1A,1500 MARSHALL ST,HOMICIDE,Inside,FIREARM,942,SOUTHERN,SOUTH BALTIMORE,39.2723,-76.6124,"(39.2723,-76.6124)",DWELLING,,1
1435815.63089283,610621.849595359,1678,2021/12/09 08:17:48+00,1A,4800 HOLDER AVE,HOMICIDE,Outside,FIREARM,426,NORTHEAST,WALTHERSON,39.3425,-76.5634,"(39.3425,-76.5634)",DWELLING,,1
1414155.61973348,595083.613022081,1863,2021/12/07 19:21:12+00,1A,1000 N CALHOUN ST,HOMICIDE,Outside,FIREARM,724,WESTERN,SANDTOWN-WINCHESTER,39.3001,-76.6402,"(39.3001,-76.6402)",VEHICLE,Central,1
1405483.97271842,606232.990841246,1877,2021/12/07 22:10:45+00,1A,3900 EDGEWOOD RD,HOMICIDE,Outside,FIREARM,625,NORTHWEST,EAST ARLINGTON,39.3308,-76.6707,"(39.3308,-76.6707)",STREET,,1
1430804.97547146,593114.870447566,2074,2021/12/05 15:45:47+00,1A,200 N ROSE ST,HOMICIDE,Outside,FIREARM,221,SOUTHEAST,MCELDERRY PARK,39.2945,-76.5814,"(39.2945,-76.5814)",STREET,,1
1412265.73663135,600794.7593555,2076,2021/12/05 12:38:38+00,1A,2900 PARKWOOD AVE,HOMICIDE,Outside,FIREARM,732,WESTERN,PARKVIEW/WOODBROOK,39.3158,-76.6468,"(39.3158,-76.6468)",STREET,Western,1
1413273.7852246,596245.709839784,2412,2021/12/02 15:07:07+00,1A,1300 N GILMOR ST,HOMICIDE,Outside,FIREARM,724,WESTERN,SANDTOWN-WINCHESTER,39.3033,-76.6433,"(39.3033,-76.6433)",STREET,Central,1
1408684.63263719,605115.59226057,2430,2021/12/02 21:45:00+00,1A,3500 REISTERSTOWN RD,HOMICIDE,Outside,FIREARM,612,NORTHWEST,PARK CIRCLE,39.3277,-76.6594,"(39.3277,-76.6594)",STREET,,1
1396738.77327173,616219.543989298,2530,2021/12/01 17:22:48+00,1A,6600 GIST AVE,HOMICIDE,Outside,FIREARM,632,NORTHWEST,GLEN,39.3583,-76.7015,"(39.3583,-76.7015)",PARKING LOT,,1
1397058.96482262,587555.077796971,2533,2021/12/01 14:25:51+00,1A,500 RANDOM RD,HOMICIDE,Outside,FIREARM,833,SOUTHWEST,BEECHFIELD,39.2796,-76.7007,"(39.2796,-76.7007)",STREET,,1
1403744.99438759,602038.030495988,2872,2021/11/28 01:39:47+00,1A,2800 GARRISON BLVD,HOMICIDE,Outside,FIREARM,624,NORTHWEST,GARWYN OAKS,39.3193,-76.6769,"(39.3193,-76.6769)",STREET,,1
